Price,Bedrooms,Is_premium_subarea,Is_estate,Price_log,Group_median,Group_std,Price_zscore_in_group,Locality_encoded,Area_encoded,Property_type_encoded
1300000,3,0,0,14.077875591662238,1000000.0,471780.70203466876,0.6358886633263658,14.012011549760725,13.75053356952986,13.942958244723336
1000000,3,1,0,13.815511557963774,1000000.0,395058.6778605653,0.0,13.940793064563954,13.74365033424736,13.961348273931726
500000,2,0,0,13.122365377402328,800000.0,1257122.5647712885,-0.2386402156853972,14.154401689363777,13.74365033424736,13.961348273931726
170000,0,0,0,12.04355959836804,175000.0,7071.067811865475,-0.7071067811865476,14.128773846284147,13.73828354933841,12.689290634526047
1500000,3,0,0,14.220976332738882,1500000.0,1.0,0.0,13.439144679157337,13.73828354933841,14.920318282492198
1100000,3,0,0,13.910821646859095,750000.0,258573.34507161233,1.3535811276412382,13.455470872114175,13.761359647409968,13.961012994652792
300000,1,0,0,12.611541086966115,400000.0,736903.1929564925,-0.1357030352912368,14.161801642808275,13.75053356952986,13.141945411452566
3000000,4,0,0,14.914123179965662,3500000.0,4441466.645353092,-0.11257542607533204,14.679917924853939,14.84108294785864,14.952969449335288
1300000,3,0,0,14.077875591662238,1000000.0,624067.9867957743,0.48071685513036055,13.62347496440506,13.75503204010579,13.959739575628085
1000000,3,0,0,13.815511557963774,1000000.0,624067.9867957743,0.0,13.545116365016396,13.761359647409968,13.961012994652792
750000,2,0,0,13.527829818844937,700000.0,388728.5267957169,0.12862446811441705,13.62347496440506,13.75503204010579,13.959739575628085
350000,1,0,1,12.765691290604371,365000.0,1204599.6404862693,-0.012452270028857758,13.76931167987375,14.840092247661994,13.141945411452566
4000000,4,0,1,15.201805169084134,3500000.0,4441466.645353092,0.11257542607533204,14.667835947994133,14.859081171067611,14.943664804017871
950000,3,0,1,13.76421831620775,900000.0,345391.2078968643,0.14476338382918616,13.818373118244434,14.830809391644584,13.961012994652792
450000,2,0,0,13.017005083966255,550000.0,251382.4283490744,-0.3978002784710875,13.746275127888024,13.74365033424736,13.961348273931726
1300000,3,0,1,14.077875591662238,1000000.0,624067.9867957743,0.48071685513036055,13.632339391313863,13.73828354933841,13.924388598525375
1500000,3,0,0,14.220976332738882,1600000.0,1237311.287693152,-0.08082040549912091,14.721093724316244,13.761359647409968,13.961012994652792
1400000,3,0,0,14.151983508870947,1000000.0,395058.6778605653,1.012507818246632,14.00180902898726,13.761359647409968,13.961012994652792
1000000,2,0,1,13.815511557963774,775000.0,160228.0628912014,1.4042483940705208,14.00180902898726,13.761359647409968,13.961012994652792
700000,4,0,0,13.45883704259595,1200000.0,694827.8306787332,-0.7196027244786406,13.688183243122786,13.761359647409968,13.961012994652792
